pair_1	pair_2	category	coarse_bound_m	final_bound_m	refined	passed
openarm_right_left_finger	openarm_right_link5	intra_or_fixed	0.08836510056122415	0.08836510056122415	false	true
openarm_right_left_finger	openarm_right_link6	intra_or_fixed	0.07108502842871924	0.07108502842871924	false	true
openarm_right_link0	openarm_right_link2	intra_or_fixed	0.009426699589688408	0.010835375014411215	true	true
openarm_right_link0	openarm_right_link3	intra_or_fixed	0.02803480878469553	0.02803480878469553	false	true
openarm_right_link0	openarm_right_link4	intra_or_fixed	0.1364818149410986	0.1364818149410986	false	true
openarm_right_link0	openarm_right_link5	intra_or_fixed	0.2593868920037854	0.2593868920037854	false	true
openarm_right_link0	openarm_right_link6	intra_or_fixed	0.34302737649371795	0.34302737649371795	false	true
openarm_right_link0	openarm_right_link7	intra_or_fixed	0.3645672402559634	0.3645672402559634	false	true
openarm_right_link0	openarm_right_right_finger	intra_or_fixed	0.46190134690295254	0.46190134690295254	false	true
openarm_right_link1	openarm_right_link3	intra_or_fixed	0.013101115583841996	0.013101115583841996	false	true
openarm_right_link1	openarm_right_link4	intra_or_fixed	0.13934792340111704	0.13934792340111704	false	true
openarm_right_link1	openarm_right_link5	intra_or_fixed	0.26002500307955095	0.26002500307955095	false	true
openarm_right_link1	openarm_right_link6	intra_or_fixed	0.34767259091253894	0.34767259091253894	false	true
openarm_right_link1	openarm_right_link7	intra_or_fixed	0.3578611766155899	0.3578611766155899	false	true
openarm_right_link1	openarm_right_right_finger	intra_or_fixed	0.47112705624469176	0.47112705624469176	false	true
openarm_right_link2	openarm_right_link4	intra_or_fixed	0.12063330653129986	0.12063330653129986	false	true
openarm_right_link2	openarm_right_link5	intra_or_fixed	0.24424550617672217	0.24424550617672217	false	true
openarm_right_link2	openarm_right_link6	intra_or_fixed	0.33212957476438626	0.33212957476438626	false	true
openarm_right_link2	openarm_right_link7	intra_or_fixed	0.34173054308759315	0.34173054308759315	false	true
openarm_right_link2	openarm_right_right_finger	intra_or_fixed	0.45593772050248355	0.45593772050248355	false	true
openarm_right_link3	openarm_right_link5	intra_or_fixed	0.06736296254444056	0.06736296254444056	false	true
openarm_right_link3	openarm_right_link6	intra_or_fixed	0.15606422817076482	0.15606422817076482	false	true
openarm_right_link3	openarm_right_link7	intra_or_fixed	0.16616517499340547	0.16616517499340547	false	true
openarm_right_link3	openarm_right_right_finger	intra_or_fixed	0.28208694053760686	0.28208694053760686	false	true
openarm_right_link4	openarm_right_link6	intra_or_fixed	0.08929433351204873	0.08929433351204873	false	true
openarm_right_link4	openarm_right_link7	intra_or_fixed	0.09972082120472255	0.09972082120472255	false	true
openarm_right_link4	openarm_right_right_finger	intra_or_fixed	0.21567473723975308	0.21567473723975308	false	true
openarm_right_link5	openarm_right_link7	intra_or_fixed	0.02187798144678948	0.02187798144678948	false	true
openarm_right_link5	openarm_right_right_finger	intra_or_fixed	0.08834767597714765	0.08834767597714765	false	true
openarm_right_link6	openarm_right_right_finger	intra_or_fixed	0.0711133682386653	0.0711133682386653	false	true
